hour,atmosphericpressure (kPa),precipitation (mm),radiation (W/m2),relativehumidity (-),temperature (degrees Celsius),winddirection (degrees),windgusts (m/s),windspeed (m/s)
2019-01-01 01:00:00,99.23,0.0,0,0.794,19.2,113.0,0.48,0.31
2019-01-01 02:00:00,99.2,0.0,0,0.844,18.5,116.0,0.37,0.25
2019-01-01 03:00:00,99.2,0.0,0,0.861,18.1,87.0,0.45,0.17
2019-01-01 04:00:00,99.19,0.0,0,0.857,17.6,168.0,0.51,0.31
2019-01-01 05:00:00,99.24,0.0,0,0.866,16.7,126.0,0.84,0.51
2019-01-01 06:00:00,99.3,0.0,0,0.875,15.9,122.0,0.63,0.27
2019-01-01 07:00:00,99.35,0.0,3,0.907,14.9,127.0,0.37,0.14
2019-01-01 08:00:00,99.43,0.0,73,0.842,17.3,82.0,0.28,0.14
2019-01-01 09:00:00,99.5,0.0,205,0.596,22.5,21.0,1.79,0.83
2019-01-01 10:00:00,99.46,0.0,353,0.405,25.8,17.0,2.37,1.3
2019-01-01 11:00:00,99.43,0.0,475,0.35,28.4,76.0,4.44,1.74
2019-01-01 12:00:00,99.32,0.0,565,0.313,31.0,28.0,3.8,1.27
2019-01-01 13:00:00,99.2,0.0,591,0.277,33.0,152.0,2.53,1.24
2019-01-01 14:00:00,99.07,0.0,562,0.246,34.8,84.0,2.93,1.37
2019-01-01 15:00:00,98.98,0.0,470,0.227,35.2,14.0,2.25,1.15
2019-01-01 16:00:00,98.94,0.0,328,0.212,35.3,325.0,2.9,1.58
2019-01-01 17:00:00,98.94,0.0,174,0.219,35.2,117.0,2.1,1.01
2019-01-01 18:00:00,98.98,0.0,42,0.276,32.6,223.0,0.65,0.49
2019-01-01 19:00:00,99.1,0.0,0,0.396,26.9,195.0,0.76,0.41
2019-01-01 20:00:00,99.22,0.0,0,0.525,23.8,137.0,0.39,0.29
2019-01-01 21:00:00,99.31,0.0,0,0.589,22.3,148.0,0.78,0.39
2019-01-01 22:00:00,99.36,0.0,0,0.657,21.0,179.0,0.7,0.45
2019-01-01 23:00:00,99.39,0.0,0,0.686,20.6,169.0,0.59,0.39
2019-01-02 00:00:00,99.35,0.0,0,0.739,19.6,213.0,0.5,0.28
2019-01-02 01:00:00,99.34,0.0,0,0.79,18.7,164.0,0.22,0.11
2019-01-02 02:00:00,99.31,0.0,0,0.792,19.0,109.0,0.7,0.24
2019-01-02 03:00:00,99.24,0.0,0,0.835,17.6,135.0,0.19,0.09
2019-01-02 04:00:00,99.26,0.0,0,0.83,18.1,101.0,0.77,0.55
2019-01-02 05:00:00,99.25,0.0,0,0.864,17.5,118.0,0.82,0.41
2019-01-02 06:00:00,99.28,0.0,0,0.896,16.8,58.0,0.41,0.25
2019-01-02 07:00:00,99.32,0.0,1,0.896,16.9,115.0,0.89,0.58
2019-01-02 08:00:00,99.43,0.0,74,0.901,18.0,189.0,0.4,0.22
2019-01-02 09:00:00,99.42,0.0,207,0.799,22.9,45.0,1.25,0.76
2019-01-02 10:00:00,99.41,0.0,352,0.415,27.5,47.0,2.59,0.86
2019-01-02 11:00:00,99.34,0.0,469,0.308,30.2,128.0,1.6,0.8
2019-01-02 12:00:00,99.28,0.0,508,0.308,31.4,271.0,2.04,1.28
2019-01-02 13:00:00,99.19,0.0,567,0.306,33.5,275.0,2.89,1.34
2019-01-02 14:00:00,99.06,0.0,516,0.298,33.9,116.0,1.91,0.99
2019-01-02 15:00:00,98.94,0.0,436,0.301,34.9,177.0,2.28,1.05
2019-01-02 16:00:00,98.89,0.0,296,0.283,34.9,181.0,2.09,1.25
2019-01-02 17:00:00,98.89,0.0,150,0.278,35.1,225.0,1.01,0.55
2019-01-02 18:00:00,98.95,0.0,36,0.399,31.7,203.0,0.58,0.46
2019-01-02 19:00:00,99.02,0.0,0,0.498,26.8,174.0,0.84,0.47
2019-01-02 20:00:00,99.12,0.0,0,0.554,24.9,180.0,0.5,0.33
2019-01-02 21:00:00,99.16,0.0,0,0.64,22.8,146.0,0.18,0.11
2019-01-02 22:00:00,99.24,0.0,0,0.698,22.2,121.0,0.41,0.23
2019-01-02 23:00:00,99.23,0.0,0,0.757,21.2,59.0,1.2,0.44
2019-01-03 00:00:00,99.2,0.0,0,0.783,21.3,172.0,0.41,0.26
2019-01-03 01:00:00,99.17,0.0,0,0.823,19.7,133.0,0.25,0.09
2019-01-03 02:00:00,99.14,0.0,0,0.86,18.9,225.0,0.49,0.27
2019-01-03 03:00:00,99.12,0.0,0,0.85,19.1,132.0,0.42,0.17
2019-01-03 04:00:00,99.12,0.0,0,0.886,17.8,153.0,0.55,0.35
2019-01-03 05:00:00,99.1,0.0,0,0.909,17.4,138.0,0.45,0.24
2019-01-03 06:00:00,99.16,0.0,0,0.932,16.2,109.0,0.66,0.37
2019-01-03 07:00:00,99.21,0.0,1,0.932,15.9,211.0,0.29,0.17
2019-01-03 08:00:00,99.3,0.0,84,0.945,17.0,321.0,0.24,0.11
2019-01-03 09:00:00,99.35,0.0,183,0.665,22.2,346.0,0.86,0.46
2019-01-03 10:00:00,99.33,0.0,349,0.398,26.3,354.0,1.22,0.6
2019-01-03 11:00:00,99.31,0.0,470,0.328,29.3,302.0,1.39,0.74
2019-01-03 12:00:00,99.24,0.0,534,0.298,31.2,241.0,1.82,1.31
2019-01-03 13:00:00,99.11,0.0,542,0.262,33.0,273.0,1.84,1.18
2019-01-03 14:00:00,98.96,0.0,507,0.265,33.9,133.0,3.03,1.23
2019-01-03 15:00:00,98.87,0.0,432,0.271,34.2,89.0,1.74,1.02
2019-01-03 16:00:00,98.84,0.0,291,0.265,34.9,237.0,1.99,1.39
2019-01-03 17:00:00,98.83,0.0,148,0.274,34.4,205.0,1.94,0.84
2019-01-03 18:00:00,98.89,0.0,37,0.328,32.0,191.0,1.53,0.78
2019-01-03 19:00:00,98.96,0.0,0,0.436,27.4,172.0,0.38,0.21
2019-01-03 20:00:00,99.06,0.0,0,0.542,24.1,134.0,0.51,0.4
2019-01-03 21:00:00,99.13,0.0,0,0.615,22.5,128.0,0.63,0.38
2019-01-03 22:00:00,99.15,0.0,0,0.678,21.6,162.0,0.46,0.32
2019-01-03 23:00:00,99.13,0.0,0,0.728,20.8,118.0,0.69,0.51
2019-01-04 00:00:00,99.12,0.0,0,0.784,20.2,150.0,0.63,0.37
2019-01-04 01:00:00,99.11,0.0,0,0.846,19.5,222.0,0.15,0.11
2019-01-04 02:00:00,99.1,0.0,0,0.794,20.6,101.0,1.03,0.67
2019-01-04 03:00:00,99.06,0.0,0,0.85,19.1,121.0,0.4,0.32
2019-01-04 04:00:00,99.08,0.0,0,0.836,19.9,101.0,1.02,0.67
2019-01-04 05:00:00,99.1,0.0,0,0.863,19.2,248.0,0.33,0.24
2019-01-04 06:00:00,99.16,0.0,0,0.881,18.3,154.0,0.62,0.43
2019-01-04 07:00:00,99.18,0.0,1,0.842,19.1,85.0,1.06,0.67
2019-01-04 08:00:00,99.28,0.0,64,0.852,19.8,106.0,0.64,0.43
2019-01-04 09:00:00,99.31,0.0,196,0.753,23.7,304.0,0.71,0.4
2019-01-04 10:00:00,99.29,0.0,348,0.439,28.2,330.0,1.52,0.78
2019-01-04 11:00:00,99.23,0.0,479,0.294,30.4,11.0,2.19,1.05
2019-01-04 12:00:00,99.16,0.0,551,0.244,32.7,350.0,2.78,1.34
2019-01-04 13:00:00,99.06,0.0,554,0.24,33.4,358.0,2.99,1.61
2019-01-04 14:00:00,98.94,0.0,527,0.222,34.7,16.0,1.71,0.74
2019-01-04 15:00:00,98.82,0.0,373,0.22,34.9,87.0,3.55,1.39
2019-01-04 16:00:00,98.75,0.0,315,0.217,35.5,354.0,1.96,0.93
2019-01-04 17:00:00,98.77,0.0,139,0.217,35.1,21.0,1.54,0.61
2019-01-04 18:00:00,98.86,0.0,46,0.301,32.1,223.0,0.58,0.46
2019-01-04 19:00:00,98.96,0.0,0,0.412,27.2,149.0,0.37,0.24
2019-01-04 20:00:00,99.11,0.0,0,0.505,24.1,120.0,0.61,0.47
2019-01-04 21:00:00,99.21,0.0,0,0.586,22.9,117.0,0.8,0.65
2019-01-04 22:00:00,99.27,0.0,0,0.668,21.3,222.0,0.43,0.26
2019-01-04 23:00:00,99.31,0.0,0,0.664,21.2,241.0,0.75,0.44
2019-01-05 00:00:00,99.29,0.0,0,0.701,20.5,87.0,0.6,0.19
2019-01-05 01:00:00,99.31,0.0,0,0.736,20.1,336.0,0.44,0.24
2019-01-05 02:00:00,99.23,0.0,0,0.775,19.4,37.0,0.32,0.18
2019-01-05 03:00:00,99.18,0.0,0,0.811,18.3,114.0,0.36,0.24
2019-01-05 04:00:00,99.19,0.0,0,0.845,17.5,166.0,0.38,0.16
2019-01-05 05:00:00,99.17,0.0,0,0.873,16.8,124.0,0.51,0.33
2019-01-05 06:00:00,99.21,0.0,0,0.893,16.3,49.0,0.46,0.19
2019-01-05 07:00:00,99.24,0.0,2,0.896,15.5,134.0,0.56,0.19
2019-01-05 08:00:00,99.3,0.0,66,0.913,16.6,339.0,0.38,0.18
2019-01-05 09:00:00,99.35,0.0,193,0.654,22.6,72.0,1.79,0.83
2019-01-05 10:00:00,99.3,0.0,342,0.391,26.6,55.0,2.96,1.47
2019-01-05 11:00:00,99.29,0.0,463,0.318,29.1,54.0,4.32,1.6
2019-01-05 12:00:00,99.2,0.0,540,0.287,32.1,346.0,2.61,1.17
2019-01-05 13:00:00,99.08,0.0,569,0.243,33.5,42.0,2.39,1.6
2019-01-05 14:00:00,98.93,0.0,535,0.238,34.6,77.0,3.79,1.46
2019-01-05 15:00:00,98.83,0.0,442,0.23,35.3,72.0,3.64,1.63
2019-01-05 16:00:00,98.75,0.0,322,0.205,35.6,126.0,3.61,2.17
2019-01-05 17:00:00,98.78,0.0,167,0.202,35.5,81.0,1.81,0.78
2019-01-05 18:00:00,98.83,0.0,36,0.274,33.0,171.0,0.38,0.21
2019-01-05 19:00:00,98.9,0.0,0,0.383,28.2,159.0,0.72,0.29
2019-01-05 20:00:00,99.04,0.0,0,0.503,24.9,132.0,0.47,0.37
2019-01-05 21:00:00,99.15,0.0,0,0.588,22.7,133.0,0.56,0.25
2019-01-05 22:00:00,99.18,0.0,0,0.661,21.5,120.0,0.71,0.37
2019-01-05 23:00:00,99.19,0.0,0,0.705,20.5,9.0,0.75,0.39
2019-01-06 00:00:00,99.2,0.0,0,0.746,19.7,117.0,0.75,0.57
2019-01-06 01:00:00,99.19,0.0,0,0.764,19.3,105.0,0.42,0.24
2019-01-06 02:00:00,99.15,0.0,0,0.807,18.4,72.0,0.56,0.27
2019-01-06 03:00:00,99.12,0.0,0,0.845,17.7,319.0,0.28,0.14
2019-01-06 04:00:00,99.15,0.0,0,0.814,18.0,95.0,1.3,0.75
2019-01-06 05:00:00,99.16,0.0,0,0.809,17.9,145.0,0.53,0.23
2019-01-06 06:00:00,99.19,0.0,0,0.803,17.5,100.0,0.74,0.42
2019-01-06 07:00:00,99.23,0.0,1,0.869,16.0,165.0,0.36,0.24
2019-01-06 08:00:00,99.32,0.0,57,0.822,17.7,102.0,0.68,0.51
2019-01-06 09:00:00,99.36,0.0,197,0.656,22.4,66.0,1.56,0.8
2019-01-06 10:00:00,99.32,0.0,350,0.375,27.1,63.0,3.09,1.43
2019-01-06 11:00:00,99.29,0.0,467,0.293,29.8,63.0,2.59,1.03
2019-01-06 12:00:00,99.18,0.0,546,0.241,31.8,107.0,2.41,1.11
2019-01-06 13:00:00,99.05,0.0,550,0.266,33.1,79.0,1.92,1.04
2019-01-06 14:00:00,98.92,0.0,511,0.257,34.3,127.0,3.14,1.61
2019-01-06 15:00:00,98.82,0.0,428,0.265,34.1,119.0,4.57,2.1
2019-01-06 16:00:00,98.78,0.0,300,0.268,34.8,174.0,4.4,1.35
2019-01-06 17:00:00,98.8,0.0,154,0.284,34.0,80.0,2.69,1.09
2019-01-06 18:00:00,98.86,0.0,38,0.343,32.0,234.0,0.74,0.55
2019-01-06 19:00:00,98.94,0.0,0,0.455,27.4,206.0,0.35,0.2
2019-01-06 20:00:00,99.04,0.0,0,0.558,24.5,235.0,0.29,0.14
2019-01-06 21:00:00,99.13,0.0,0,0.615,27.2,229.0,3.34,1.53
2019-01-06 22:00:00,99.17,0.0,0,0.704,25.4,243.0,1.34,0.42
2019-01-06 23:00:00,99.16,0.0,0,0.8,23.0,184.0,0.29,0.11
2019-01-07 00:00:00,99.24,0.0,0,0.77,23.0,69.0,0.6,0.28
2019-01-07 01:00:00,99.22,0.0,0,0.831,21.1,121.0,0.32,0.23
2019-01-07 02:00:00,99.16,0.0,0,0.854,20.2,162.0,0.35,0.23
2019-01-07 03:00:00,99.15,0.0,0,0.884,19.6,18.0,0.37,0.18
2019-01-07 04:00:00,99.13,0.0,0,0.891,19.3,102.0,0.53,0.37
2019-01-07 05:00:00,99.12,0.0,0,0.922,18.6,90.0,0.3,0.11
2019-01-07 06:00:00,99.15,0.0,0,0.935,17.8,127.0,0.21,0.13
2019-01-07 07:00:00,99.18,0.0,1,0.936,17.2,118.0,0.45,0.31
2019-01-07 08:00:00,99.21,0.0,60,0.856,18.9,106.0,0.5,0.32
2019-01-07 09:00:00,99.28,0.0,198,0.606,22.8,4.0,1.42,0.7
2019-01-07 10:00:00,99.27,0.0,329,0.346,26.7,352.0,2.67,1.24
2019-01-07 11:00:00,99.22,0.0,453,0.308,28.6,33.0,2.6,1.33
2019-01-07 12:00:00,99.14,0.0,541,0.266,31.2,345.0,2.0,0.86
2019-01-07 13:00:00,99.04,0.0,581,0.239,33.0,147.0,1.69,0.87
2019-01-07 14:00:00,98.94,0.0,428,0.241,34.0,226.0,2.35,1.18
2019-01-07 15:00:00,98.86,0.0,233,0.242,34.1,251.0,2.01,1.11
2019-01-07 16:00:00,98.86,0.0,130,0.242,34.3,244.0,1.66,0.75
2019-01-07 17:00:00,98.84,0.0,80,0.279,32.2,191.0,1.49,0.78
2019-01-07 18:00:00,98.9,0.0,24,0.372,29.5,225.0,0.6,0.38
2019-01-07 19:00:00,98.98,0.0,0,0.444,26.3,214.0,0.36,0.28
2019-01-07 20:00:00,99.08,0.0,0,0.491,24.2,124.0,0.6,0.41
2019-01-07 21:00:00,99.11,0.0,0,0.555,22.9,144.0,0.31,0.2
2019-01-07 22:00:00,99.14,0.0,0,0.623,21.6,152.0,0.6,0.33
2019-01-07 23:00:00,99.11,0.0,0,0.706,20.4,131.0,0.38,0.26
2019-01-08 00:00:00,99.09,0.0,0,0.741,20.0,180.0,0.38,0.3
2019-01-08 01:00:00,99.09,0.0,0,0.778,19.2,215.0,0.53,0.33
2019-01-08 02:00:00,99.05,0.0,0,0.785,18.6,208.0,0.3,0.15
2019-01-08 03:00:00,99.05,0.0,0,0.828,17.8,245.0,0.47,0.29
2019-01-08 04:00:00,99.06,0.0,0,0.848,17.5,231.0,0.55,0.23
2019-01-08 05:00:00,99.08,0.0,0,0.873,16.9,140.0,0.44,0.31
2019-01-08 06:00:00,99.1,0.0,0,0.861,17.1,194.0,0.41,0.25
2019-01-08 07:00:00,99.13,0.0,1,0.875,16.3,118.0,1.06,0.44
2019-01-08 08:00:00,99.22,0.0,66,0.84,17.2,12.0,0.66,0.42
2019-01-08 09:00:00,99.23,0.0,197,0.508,22.4,21.0,2.4,1.12
2019-01-08 10:00:00,99.18,0.0,384,0.407,25.4,9.0,3.65,1.44
2019-01-08 11:00:00,99.15,0.0,479,0.319,29.2,64.0,2.0,0.94
2019-01-08 12:00:00,99.07,0.0,584,0.277,31.6,84.0,3.33,1.68
2019-01-08 13:00:00,98.94,0.0,621,0.225,34.1,132.0,4.44,1.31
2019-01-08 14:00:00,98.86,0.0,241,0.226,33.7,142.0,3.11,1.21
2019-01-08 15:00:00,98.8,0.0,383,0.233,34.1,124.0,3.16,1.5
2019-01-08 16:00:00,98.75,0.0,302,0.243,34.9,149.0,2.01,0.66
2019-01-08 17:00:00,98.74,0.0,160,0.234,34.4,325.0,1.57,0.86
2019-01-08 18:00:00,98.77,0.0,41,0.294,31.9,210.0,0.65,0.49
2019-01-08 19:00:00,98.82,0.0,0,0.405,26.4,148.0,0.4,0.23
2019-01-08 20:00:00,98.94,0.0,0,0.473,23.8,172.0,0.55,0.29
2019-01-08 21:00:00,99.08,0.0,0,0.556,22.4,210.0,0.86,0.63
2019-01-08 22:00:00,99.14,0.0,0,0.584,21.8,148.0,0.92,0.58
2019-01-08 23:00:00,99.14,0.0,0,0.646,20.7,167.0,0.49,0.31
2019-01-09 00:00:00,99.11,0.0,0,0.679,20.0,175.0,0.6,0.36
2019-01-09 01:00:00,99.1,0.0,0,0.716,19.1,300.0,0.6,0.29
2019-01-09 02:00:00,99.06,0.0,0,0.754,18.2,115.0,0.36,0.24
2019-01-09 03:00:00,99.02,0.0,0,0.794,17.2,195.0,0.26,0.14
2019-01-09 04:00:00,99.04,0.0,0,0.826,16.5,352.0,0.17,0.07
2019-01-09 05:00:00,99.04,0.0,0,0.832,16.1,200.0,0.3,0.17
2019-01-09 06:00:00,99.07,0.0,0,0.84,15.5,156.0,0.25,0.1
2019-01-09 07:00:00,99.08,0.0,1,0.786,15.9,164.0,0.46,0.3
2019-01-09 08:00:00,99.14,0.0,102,0.714,18.5,21.0,0.65,0.44
2019-01-09 09:00:00,99.18,0.0,188,0.527,23.4,12.0,1.02,0.66
2019-01-09 10:00:00,99.13,0.0,326,0.358,27.0,43.0,1.6,0.88
2019-01-09 11:00:00,99.08,0.0,446,0.294,29.3,21.0,1.68,0.96
2019-01-09 12:00:00,98.99,0.0,524,0.253,31.6,107.0,2.07,1.12
2019-01-09 13:00:00,98.9,0.0,532,0.23,33.4,180.0,2.6,1.3
2019-01-09 14:00:00,98.79,0.0,504,0.224,34.1,193.0,1.57,0.78
2019-01-09 15:00:00,98.72,0.0,425,0.222,34.9,241.0,2.73,1.33
2019-01-09 16:00:00,98.67,0.0,271,0.229,34.0,87.0,1.81,0.92
2019-01-09 17:00:00,98.64,0.0,135,0.228,34.5,251.0,1.51,0.67
2019-01-09 18:00:00,98.7,0.0,36,0.275,31.9,195.0,1.66,1.03
2019-01-09 19:00:00,98.78,0.0,0,0.377,27.2,176.0,0.49,0.32
2019-01-09 20:00:00,98.9,0.0,0,0.466,24.5,233.0,0.39,0.3
2019-01-09 21:00:00,98.97,0.0,0,0.493,25.2,194.0,1.34,0.64
2019-01-09 22:00:00,99.04,0.0,0,0.615,25.1,246.0,0.53,0.31
2019-01-09 23:00:00,99.01,0.0,0,0.689,22.7,142.0,0.82,0.38
2019-01-10 00:00:00,99.05,0.0,0,0.735,21.4,126.0,0.51,0.26
2019-01-10 01:00:00,99.05,0.0,0,0.8,20.3,153.0,0.26,0.16
2019-01-10 02:00:00,99.01,0.0,0,0.834,19.8,130.0,0.27,0.2
2019-01-10 03:00:00,99.02,0.0,0,0.838,19.3,155.0,0.29,0.1
2019-01-10 04:00:00,98.98,0.0,0,0.862,18.6,205.0,0.48,0.25
2019-01-10 05:00:00,98.98,0.0,0,0.885,18.2,81.0,0.19,0.12
2019-01-10 06:00:00,99.02,0.0,0,0.863,18.9,103.0,0.54,0.4
2019-01-10 07:00:00,99.06,0.0,1,0.894,17.7,77.0,0.11,0.07
2019-01-10 08:00:00,99.15,0.0,34,0.86,19.7,93.0,0.74,0.4
2019-01-10 09:00:00,99.18,0.0,140,0.777,22.8,107.0,0.87,0.5
2019-01-10 10:00:00,99.18,0.0,276,0.739,26.6,316.0,1.24,0.74
2019-01-10 11:00:00,99.15,0.0,338,0.723,28.8,164.0,1.82,0.84
2019-01-10 12:00:00,99.06,0.0,457,0.567,31.0,197.0,2.13,0.92
2019-01-10 13:00:00,98.94,0.0,495,0.503,32.2,275.0,2.99,1.53
2019-01-10 14:00:00,98.88,0.0,440,0.441,33.8,240.0,3.04,1.37
2019-01-10 15:00:00,98.79,0.0,340,0.439,33.5,185.0,2.46,1.41
2019-01-10 16:00:00,98.74,0.0,238,0.412,34.2,277.0,2.08,1.19
2019-01-10 17:00:00,98.73,0.0,122,0.42,33.8,247.0,1.81,1.07
2019-01-10 18:00:00,98.77,0.0,23,0.463,31.9,212.0,1.65,0.89
2019-01-10 19:00:00,98.85,0.0,0,0.473,30.4,135.0,1.42,0.32
2019-01-10 20:00:00,98.93,0.0,0,0.549,27.6,217.0,0.37,0.22
2019-01-10 21:00:00,99.03,0.0,0,0.645,25.7,176.0,0.32,0.21
2019-01-10 22:00:00,99.08,0.0,0,0.668,27.3,210.0,1.24,0.75
2019-01-10 23:00:00,99.08,0.0,0,0.758,26.9,220.0,1.4,0.62
2019-01-11 00:00:00,99.09,0.0,0,0.824,25.4,201.0,0.57,0.38
2019-01-11 01:00:00,99.06,0.0,0,0.863,24.8,221.0,0.25,0.15
2019-01-11 02:00:00,99.05,0.0,0,0.856,25.2,343.0,0.85,0.47
2019-01-11 03:00:00,99.04,0.0,0,0.828,24.3,67.0,0.45,0.19
2019-01-11 04:00:00,99.0,0.0,0,0.864,23.0,190.0,0.55,0.26
2019-01-11 05:00:00,99.01,0.0,0,0.894,21.9,225.0,0.31,0.23
2019-01-11 06:00:00,99.02,0.0,0,0.926,21.1,196.0,0.23,0.08
2019-01-11 07:00:00,99.06,0.0,0,0.935,20.7,228.0,0.32,0.18
2019-01-11 08:00:00,99.14,0.0,49,0.959,21.1,298.0,0.22,0.13
2019-01-11 09:00:00,99.25,0.0,137,0.878,24.4,5.0,0.59,0.39
2019-01-11 10:00:00,99.2,0.0,257,0.84,27.6,244.0,1.6,0.82
2019-01-11 11:00:00,99.14,0.0,359,0.709,29.4,307.0,1.94,1.0
2019-01-11 12:00:00,99.03,0.0,449,0.522,32.1,313.0,1.93,0.6
2019-01-11 13:00:00,98.91,0.0,482,0.443,33.1,119.0,2.37,1.01
2019-01-11 14:00:00,98.81,0.0,461,0.376,34.4,328.0,2.18,1.12
2019-01-11 15:00:00,98.73,0.0,371,0.332,35.2,345.0,2.41,1.18
2019-01-11 16:00:00,98.69,0.0,257,0.322,35.5,235.0,1.53,0.57
2019-01-11 17:00:00,98.68,0.0,131,0.321,35.1,7.0,1.36,0.42
2019-01-11 18:00:00,98.68,0.0,35,0.392,32.9,224.0,0.71,0.53
2019-01-11 19:00:00,98.78,0.0,0,0.511,29.2,208.0,0.55,0.23
2019-01-11 20:00:00,98.88,0.0,0,0.622,26.7,224.0,0.22,0.16
2019-01-11 21:00:00,98.98,0.0,0,0.687,25.4,212.0,0.26,0.15
2019-01-11 22:00:00,99.01,0.0,0,0.779,26.8,250.0,1.32,0.58
2019-01-11 23:00:00,99.03,0.0,0,0.853,24.4,131.0,0.28,0.19
2019-01-12 00:00:00,98.98,0.0,0,0.891,23.2,176.0,0.16,0.1
2019-01-12 01:00:00,99.0,0.0,0,0.924,22.3,218.0,0.33,0.16
2019-01-12 02:00:00,98.97,0.0,0,0.942,21.5,125.0,0.19,0.12
2019-01-12 03:00:00,98.95,0.0,0,0.933,21.0,194.0,0.25,0.14
2019-01-12 04:00:00,98.95,0.0,0,0.933,20.8,127.0,0.49,0.23
2019-01-12 05:00:00,98.97,0.0,0,0.917,21.3,95.0,0.5,0.28
2019-01-12 06:00:00,99.02,0.0,0,0.923,22.0,350.0,0.74,0.4
2019-01-12 07:00:00,99.02,0.0,2,0.949,20.7,0.0,0.14,0.08
2019-01-12 08:00:00,99.09,0.0,46,0.957,21.5,255.0,0.37,0.23
2019-01-12 09:00:00,99.16,0.0,176,0.971,25.3,233.0,1.15,0.75
2019-01-12 10:00:00,99.16,0.0,307,0.84,27.9,249.0,1.89,1.17
2019-01-12 11:00:00,99.06,0.0,438,0.711,29.6,269.0,2.03,1.09
2019-01-12 12:00:00,98.95,0.0,511,0.544,31.9,335.0,2.64,1.44
2019-01-12 13:00:00,98.86,0.0,530,0.44,33.5,142.0,2.75,1.67
2019-01-12 14:00:00,98.73,0.0,468,0.384,35.6,271.0,1.72,0.93
2019-01-12 15:00:00,98.65,0.0,379,0.313,35.8,62.0,3.95,1.42
2019-01-12 16:00:00,98.62,0.0,279,0.289,36.0,346.0,2.35,0.96
2019-01-12 17:00:00,98.63,0.0,151,0.302,35.3,99.0,2.57,1.3
2019-01-12 18:00:00,98.68,0.0,51,0.315,34.2,141.0,1.48,0.66
2019-01-12 19:00:00,98.78,0.0,0,0.42,31.2,219.0,0.68,0.38
2019-01-12 20:00:00,98.88,0.0,0,0.545,27.2,240.0,0.52,0.24
2019-01-12 21:00:00,99.02,0.0,0,0.761,28.0,203.0,2.91,1.27
2019-01-12 22:00:00,99.08,0.0,0,0.808,26.9,208.0,2.28,0.7
2019-01-12 23:00:00,99.09,0.0,0,0.869,26.2,216.0,1.48,0.63
2019-01-13 00:00:00,99.12,0.0,0,0.896,26.1,236.0,2.33,0.98
2019-01-13 01:00:00,99.13,0.0,0,0.909,26.0,247.0,0.85,0.52
2019-01-13 02:00:00,99.08,0.0,0,0.914,26.0,230.0,1.4,0.66
2019-01-13 03:00:00,99.0,0.0,0,0.922,25.8,265.0,1.26,0.57
2019-01-13 04:00:00,99.04,0.0,0,0.927,25.5,259.0,1.96,0.73
2019-01-13 05:00:00,99.06,0.0,0,0.946,24.9,290.0,0.3,0.21
2019-01-13 06:00:00,99.05,0.0,0,0.953,24.0,235.0,0.43,0.33
2019-01-13 07:00:00,99.11,0.0,0,0.961,24.6,251.0,0.52,0.32
2019-01-13 08:00:00,99.19,0.0,39,0.972,24.8,271.0,0.6,0.43
2019-01-13 09:00:00,99.28,0.0,161,0.947,26.7,269.0,2.08,1.17
2019-01-13 10:00:00,99.27,0.0,295,0.83,28.4,245.0,3.09,1.59
2019-01-13 11:00:00,99.19,0.0,344,0.726,30.0,232.0,2.79,1.29
2019-01-13 12:00:00,99.13,0.0,434,0.603,32.3,247.0,2.73,1.28
2019-01-13 13:00:00,99.02,0.0,562,0.529,33.4,213.0,3.21,1.74
2019-01-13 14:00:00,98.92,0.0,423,0.511,33.8,279.0,2.77,1.54
2019-01-13 15:00:00,98.83,0.0,419,0.45,35.1,231.0,2.33,1.13
2019-01-13 16:00:00,98.8,0.0,269,0.456,34.8,233.0,3.57,1.83
2019-01-13 17:00:00,98.81,0.0,143,0.473,34.3,183.0,2.29,1.12
2019-01-13 18:00:00,98.85,0.0,53,0.506,33.2,212.0,1.6,1.06
2019-01-13 19:00:00,98.93,0.0,0,0.635,30.9,225.0,2.4,0.96
2019-01-13 20:00:00,99.05,0.0,0,0.696,29.3,211.0,3.65,1.53
2019-01-13 21:00:00,99.15,0.0,0,0.726,28.4,214.0,1.53,0.88
2019-01-13 22:00:00,99.19,0.0,0,0.771,27.4,235.0,0.94,0.48
2019-01-13 23:00:00,99.18,0.0,0,0.804,26.7,215.0,1.4,0.68
2019-01-14 00:00:00,99.18,0.0,0,0.833,26.1,228.0,0.96,0.42
2019-01-14 01:00:00,99.16,0.0,0,0.88,24.8,234.0,0.38,0.27
2019-01-14 02:00:00,99.12,0.0,0,0.906,23.9,229.0,0.24,0.17
2019-01-14 03:00:00,99.12,0.0,0,0.917,23.6,310.0,0.47,0.21
2019-01-14 04:00:00,99.1,0.0,0,0.931,23.2,250.0,0.29,0.21
2019-01-14 05:00:00,99.12,0.0,0,0.941,22.8,264.0,0.19,0.16
2019-01-14 06:00:00,99.17,0.0,0,0.948,23.5,242.0,0.26,0.19
2019-01-14 07:00:00,99.21,0.0,0,0.942,24.3,303.0,0.75,0.43
2019-01-14 08:00:00,99.29,0.0,45,0.962,25.3,274.0,1.14,0.67
2019-01-14 09:00:00,99.37,0.0,75,0.911,26.6,293.0,2.6,1.33
2019-01-14 10:00:00,99.38,0.0,284,0.838,28.4,283.0,2.66,1.38
2019-01-14 11:00:00,99.34,0.0,272,0.753,30.1,290.0,3.77,1.91
